step,loss
50,226.2802
100,48.1494
150,40.0317
200,31.8154
250,25.4767
300,21.4425
350,18.3167
400,16.4089
450,13.4923
500,11.64
550,10.5014
600,9.7733
650,8.9159
700,8.3057
750,7.9448
800,7.6456
850,7.2391
900,13.0397
950,34.0222
1000,29.0724
1050,22.9072
1100,19.9534
1150,16.3831
1200,13.8406
1250,11.9104
1300,10.1259
1350,8.8475
1400,8.141
1450,7.4911
1500,6.8655
1550,6.4617
1600,6.2958
1650,5.9941
1700,5.8422
1750,5.8269
1800,5.7375
1850,5.7055
1900,5.5572
1950,5.499
2000,5.5669
2050,5.471
2100,5.3992
2150,5.3217
2200,5.4341
2250,5.2899
2300,5.2942
2350,5.3007
2400,5.3179
2450,5.3094
2500,5.2193
2550,5.2273
2600,5.2036
2650,5.174
2700,5.0526
2750,5.0479
2800,5.1473
2850,5.0601
2900,4.9719
2950,4.9328
3000,5.034
3050,4.9331
3100,4.7653
3150,4.8297
3200,4.9329
3250,4.9075
3300,4.8508
3350,4.8272
3400,4.8806
3450,4.8334
3500,4.7364
3550,4.7155
3600,4.8519
3650,4.7062
3700,4.7128
3750,4.6227
3800,4.7186
3850,4.7265
3900,4.6897
3950,4.3894
4000,4.6207
4050,4.6053
4100,4.4653
4150,4.3693
4200,4.5308
4250,4.4374
4300,4.3974
4350,4.7507
4400,5.0647
4450,4.8638
4500,4.8344
4550,4.6801
4600,4.7425
4650,4.7284
4700,4.686
4750,4.5846
4800,4.6827
4850,4.6841
4900,4.5307
4950,4.5582
5000,4.5475
5050,4.4736
5100,4.5086
5150,4.4216
5200,4.4393
5250,4.554
5300,4.4202
5350,4.3399
5400,4.396
5450,4.3771
5500,4.3279
5550,4.3262
5600,4.4768
5650,4.3198
5700,4.382
5750,4.2706
5800,4.2822
5850,4.3097
5900,4.2436
5950,4.2214
6000,4.3495
6050,4.3154
6100,4.2819
6150,4.3085
6200,4.2968
6250,4.3804
6300,4.288
6350,4.3144
6400,4.4211
6450,4.4387
6500,4.323
6550,4.3317
6600,4.2864
6650,4.3719
6700,4.3038
6750,4.2491
6800,4.3458
6850,4.2389
6900,4.2609
6950,4.1697
7000,4.3775
7050,4.2856
7100,4.2139
7150,4.2419
7200,4.2831
7250,4.2855
7300,4.1747
7350,4.1765
7400,4.2131
7450,4.2654
7500,4.176
7550,4.1952
7600,4.1837
7650,4.2111
7700,4.1581
7750,4.1365
7800,4.1871
7850,4.2486
7900,4.1925
7950,4.1257
8000,4.1508
8050,4.1657
8100,4.0873
8150,3.9432
8200,4.1792
8250,4.0001
8300,3.9627
8350,4.0578
8400,4.086
8450,4.1618
8500,4.0676
8550,4.1139
8600,4.1613
8650,4.1429
8700,4.133
8750,4.051
8800,4.1309
8850,4.157
8900,4.2072
8950,4.1107
9000,4.1678
9050,4.0011
9100,4.041
9150,4.0178
9200,4.1319
9250,4.0206
9300,3.9745
9350,4.1096
9400,4.1474
9450,4.1477
9500,4.0684
9550,4.0391
9600,4.1302
9650,4.2141
9700,4.1065
9750,4.0733
9800,4.1189
9850,4.1055
9900,4.0833
9950,4.0903
10000,4.1371
10050,4.153
10100,4.0172
10150,4.0531
10200,4.1425
10250,3.9815
10300,4.0449
10350,4.0019
10400,4.0841
10450,4.19
10500,4.0262
10550,4.0175
10600,4.1117
10650,4.1153
10700,4.0444
10750,4.0252
10800,4.1354
10850,4.1379
10900,4.0313
10950,4.0607
11000,4.1064
11050,4.1612
11100,4.066
11150,3.9159
11200,4.1278
11250,4.1015
11300,4.0357
11350,4.0473
11400,4.1182
11450,4.1364
11500,4.2016
11550,4.1011
11600,4.1641
11650,4.0612
11700,4.0664
11750,3.8537
11800,4.1064
11850,4.1151
11900,4.1082
11950,4.045
12000,4.0526
12050,4.1418
12100,4.0893
12150,4.042
12200,3.9782
12250,4.1444
12300,4.0583
12350,4.034
12400,4.0381
12450,4.1526
12500,4.0988
12550,4.0918
12600,4.0625
12650,4.0808
12700,4.119
12750,3.9373
12800,4.2101
12850,4.1021
12900,4.0926
12950,4.0329
13000,4.1002
13050,3.5752
13100,3.6706
13150,4.1042
13200,4.141
13250,4.1334
13300,4.1433
13350,3.9429
13400,4.2118
13450,4.1449
13500,4.1169
13550,4.0916
13600,4.2457
13650,4.1315
13700,4.1255
13750,4.0682
13800,3.992
13850,4.1553
13900,4.0272
13950,4.1515
14000,4.1664
14050,4.0974
14100,4.1205
14150,4.0619
14200,4.199
14250,4.2935
14300,4.2054
14350,4.0792
14400,4.2655
14450,4.2387
14500,4.1357
14550,4.126
14600,4.2171
14650,4.2628
14700,4.1338
14750,4.0706
14800,4.2152
14850,4.2207
14900,4.2312
14950,4.0973
15000,4.1619
15050,4.2953
15100,4.2527
15150,4.3018
15200,4.3912
15250,4.4604
15300,4.2846
15350,4.2513
15400,4.3346
15450,4.37
15500,4.2834
15550,4.1301
15600,4.2532
15650,4.1501
15700,4.2132
15750,3.9975
15800,4.1115
15850,4.1059
15900,3.9022
15950,4.18
16000,4.2431
16050,4.2566
16100,4.1493
16150,4.1268
16200,4.1436
16250,4.3159
16300,4.567
16350,5.039
16400,5.2127
16450,5.2846
16500,5.281
16550,5.0622
16600,5.2894
16650,5.1835
16700,5.3525
16750,5.2513
16800,5.2683
16850,5.4333
16900,5.3523
16950,5.2349
17000,5.206
17050,5.2552
17100,5.2592
17150,5.2015
17200,5.3508
17250,5.3275
17300,5.3509
17350,5.4076
17400,5.3469
17450,5.4144
17500,5.4217
17550,5.436
17600,5.455
17650,5.3488
17700,5.2884
17750,5.3002
17800,5.2479
17850,5.2035
17900,5.2029
17950,5.1262
18000,4.513
18050,4.583
18100,4.9229
18150,4.9972
18200,4.9564
18250,4.9794
18300,4.9475
18350,4.9649
18400,4.9334
18450,4.9153
18500,4.9403
18550,4.8844
18600,4.9249
18650,4.96
18700,4.9688
18750,5.0408
18800,4.9281
18850,4.9692
18900,4.8036
18950,4.9163
19000,4.8364
19050,4.9128
19100,4.828
19150,4.8831
19200,4.8702
19250,5.009
19300,4.901
19350,4.9578
19400,5.0015
19450,4.9715
19500,5.0236
19550,5.0431
19600,5.0103
19650,4.9927
19700,4.9594
19750,4.9672
19800,4.976
19850,5.0072
19900,4.9018
19950,4.8622
20000,4.9379
20050,4.9122
20100,4.9572
20150,4.928
20200,4.7926
20250,4.9526
20300,4.9408
20350,4.8556
20400,4.7458
20450,4.794
20500,4.7812
20550,4.8126
20600,4.765
20650,4.6903
20700,4.86
20750,4.7457
20800,4.8612
20850,4.8842
20900,4.971
20950,5.0644
21000,4.9348
21050,5.0519
21100,5.2375
21150,5.2517
21200,5.2529
21250,5.3019
21300,5.2567
21350,5.1409
21400,5.1092
21450,4.9189
21500,5.0075
21550,4.9421
21600,4.8744
21650,4.8295
21700,4.6066
21750,4.8239
21800,4.907
21850,4.8732
21900,4.8417
21950,4.7201
22000,4.8425
22050,4.7144
22100,4.6982
22150,4.6099
22200,4.5911
22250,4.6783
22300,4.7021
22350,4.7166
22400,4.6177
22450,4.7581
22500,4.8484
22550,4.7082
22600,4.6193
22650,4.6888
22700,4.8715
22750,4.7964
22800,4.8304
22850,4.8362
22900,4.8833
22950,4.8966
23000,4.8159
23050,4.7609
23100,4.7299
23150,4.6819
23200,4.6723
23250,4.6346
23300,4.5801
23350,4.4687
23400,4.6559
23450,4.657
23500,4.697
23550,4.3965
23600,4.6303
23650,4.6736
23700,4.5849
23750,4.6063
23800,4.6278
23850,4.6542
23900,4.6627
23950,4.644
24000,4.6638
24050,4.6023
24100,4.5997
24150,4.6877
24200,4.7112
24250,4.6178
24300,4.3894
24350,4.5775
24400,4.5381
24450,4.5537
24500,4.5349
24550,4.4943
24600,4.3495
24650,4.5651
24700,4.4236
24750,4.437
24800,4.4254
24850,4.426
24900,4.4417
24950,4.3756
25000,4.4262
25050,4.3559
25100,4.4236
25150,4.3574
25200,4.3536
25250,4.4472
25300,4.3466
25350,4.3642
25400,4.338
25450,4.3965
25500,4.4846
25550,4.2599
25600,4.442
25650,4.4053
25700,4.43
25750,4.4337
25800,4.1717
25850,4.4131
25900,4.3579
25950,4.4022
26000,4.4083
26050,4.3715
26100,4.3464
26150,4.3478
26200,4.3673
26250,4.3815
26300,4.3968
26350,4.3911
26400,4.3981
26450,4.3925
26500,4.4608
26550,4.3639
26600,4.3807
26650,4.1725
26700,4.3342
26750,4.3966
26800,4.4186
26850,4.3384
26900,4.4925
26950,4.3752
27000,4.3771
27050,4.2503
27100,4.3095
27150,4.3777
27200,4.2807
27250,4.2542
27300,4.237
27350,4.2047
27400,4.3033
27450,4.3866
27500,4.2761
27550,4.232
27600,4.2768
27650,4.2907
27700,4.3664
27750,4.2218
27800,4.3425
27850,4.2996
27900,4.3155
27950,4.3826
28000,4.3039
28050,4.2753
28100,4.261
28150,4.2184
28200,4.2958
28250,4.3295
28300,4.2997
28350,4.2288
28400,4.2488
28450,4.2153
28500,4.2354
28550,4.2854
28600,4.2776
28650,4.2321
28700,4.2567
28750,4.2891
28800,4.3475
28850,4.2427
28900,4.2591
28950,4.3135
29000,4.2748
29050,4.2601
29100,4.2324
29150,4.2279
29200,4.2228
29250,4.2745
29300,4.2459
29350,4.2959
29400,4.2408
29450,4.2425
29500,4.1947
29550,4.2643
29600,4.2361
29650,4.2744
29700,4.3101
29750,4.2295
29800,4.2212
29850,4.2184
29900,4.1859
29950,4.2528
30000,4.1868
30050,4.2687
30100,4.2196
30150,4.2079
30200,4.2702
30250,4.2689
30300,4.2196
30350,4.2131
30400,4.2218
30450,4.274
30500,4.2571
30550,4.1766
30600,4.3055
